numexp,rms_ra,rms_dec,nmatches,point,segment,gaia,det,wcs,cat,label,index
8,47.94971597,36.00504444,9,136,174,8,3,3,5,0,hst_12549_76_wfc3_uvis_total_ibpb76
8,15.37713019,8.962002807000001,3,182,124,3,1,3,0,0,hst_12616_08_wfc3_ir_total_ibpu08
4,7.753315446,2.652217,3,21,12,4,3,3,0,0,hst_12557_07_wfc3_uvis_total_ibqk07
4,11.31128606,3.882818712,2,3,2,2,1,3,0,0,hst_12557_07_wfc3_ir_total_ibqk07
4,0.8328293240000001,12.26991412,2,21,78,2,1,3,0,0,hst_12557_11_wfc3_ir_total_ibqk11
4,14.00306151,15.06367682,14,78,39,15,3,3,0,0,hst_12557_11_wfc3_uvis_total_ibqk11
14,14.19121255,14.22521723,155,2827,3693,167,3,3,3,0,hst_12541_02_wfc3_uvis_total_ibqt02
16,5.394362589,7.96119076,27,822,1153,28,3,3,0,0,hst_12525_03_wfc3_uvis_total_ibqv03
27,0.0,0.0,1,45,11,1,1,3,3,1,hst_12511_23_wfc3_ir_total_ibr623
17,-1.0,-1.0,4,1665,828,4,1,2,0,0,hst_12608_04_wfc3_ir_total_ibrb04
24,14.99227287,20.98119052,13,323,309,16,3,3,0,0,hst_12603_38_wfc3_uvis_total_ibs338
4,11.73780747,9.704845812,6,49,27,7,1,3,0,0,hst_12488_1y_wfc3_ir_total_ibs41y
4,13.21721824,15.21498832,7,51,48,8,1,3,0,0,hst_12488_2i_wfc3_ir_total_ibs42i
4,38.97574549,19.59143713,17,84,71,17,1,3,0,0,hst_12488_37_wfc3_ir_total_ibs437
4,0.4101477670000001,1.076711727,2,44,30,2,1,3,0,0,hst_12488_89_wfc3_ir_total_ibs489
16,17.95969194,33.772244,5,105,76,6,1,3,0,0,hst_12496_02_wfc3_ir_total_ibsd02
10,6.386660929,5.930683174,896,22696,18286,1373,3,3,4,0,hst_12499_01_wfc3_uvis_total_ibsf01
4,0.0,0.0,1,133,93,1,1,3,0,0,hst_12502_10_wfc3_ir_total_ibsh10
5,28.27030841,23.39369498,15,2096,408,16,1,3,1,0,hst_12455_ab_wfc3_ir_total_ibsyab
5,24.45338469,24.76529756,44,2355,606,46,1,3,1,0,hst_12456_b8_wfc3_ir_total_ibt2b8
4,-1.0,-1.0,5,75,53,5,1,2,0,0,hst_12547_02_wfc3_ir_total_ibt302
1,-1.0,-1.0,0,1,1,1,1,2,3,0,hst_12550_57_wfc3_ir_total_ibt657
2,1.73055707,5.857884171,5,0,0,10,3,3,1,0,hst_12452_b5_wfc3_uvis_total_ibt9b5
3,14.44150071,12.03981963,3,231,127,6,1,3,1,0,hst_12452_b5_wfc3_ir_total_ibt9b5
4,0.0,0.0,1,0,0,4,3,3,0,0,hst_12445_7m_wfc3_uvis_total_ibtm7m
4,625.8321365,317.8678015000001,2,160,85,2,1,3,0,1,hst_12445_7m_wfc3_ir_total_ibtm7m
4,27.83799243,18.23144195,37,0,0,129,3,3,3,0,hst_12679_25_wfc3_uvis_total_ibtq25
8,18.69742026,15.97497263,687,62973,75883,2548,3,3,5,0,hst_12586_27_wfc3_uvis_total_ibts27
8,18.14232422,16.60518219,657,59762,49889,2545,3,3,5,0,hst_12586_43_wfc3_uvis_total_ibts43
8,17.92918969,17.79869193,680,62244,52280,2566,3,3,5,0,hst_12586_47_wfc3_uvis_total_ibts47
1,-1.0,-1.0,6,119,78,6,1,2,5,0,hst_12568_3z_wfc3_ir_total_ibtt3z
1,-1.0,-1.0,1,73,29,1,1,2,5,0,hst_12568_85_wfc3_ir_total_ibtt85
2,6.0122079070000005,10.56997965,5,257,29,5,1,3,2,0,hst_12701_04_wfc3_ir_total_ibty04
2,6.326946812999999,8.874011904,4,0,0,12,3,3,5,0,hst_12572_25_wfc3_uvis_total_ibug25
1,25.92636614,16.79106364,7,285,152,8,1,3,5,0,hst_12572_25_wfc3_ir_total_ibug25
3,7.342467152,13.57831032,6,329,151,8,1,3,5,0,hst_12572_33_wfc3_ir_total_ibug33
30,25.95320811,27.95391006,9,14,9,10,1,3,2,0,hst_12708_03_wfc3_ir_total_ibvg03
12,3.825309687,3.092218237,805,4694,4628,1040,3,3,4,0,hst_12692_01_wfc3_uvis_total_ibwb01
4,0.0,0.0,1,154,112,1,1,3,3,0,hst_12461_cb_wfc3_ir_total_ibwjcb
3,51.87264741,35.00380982,3,231,150,3,1,3,1,0,hst_12791_a8_wfc3_ir_total_ibxfa8
2,7.206336192,36.99330677,2,0,0,5,3,3,1,0,hst_12791_a8_wfc3_uvis_total_ibxfa8
36,7.745234663,7.341923477000001,686,6410,0,1061,3,3,2,0,hst_12812_04_wfc3_uvis_total_ibxl04
4,16.00079055,11.845875,7,1021,402,9,1,3,0,0,hst_12930_15_wfc3_ir_total_ibxu15
4,30.41111753,34.08716364,396,4709,6926,772,1,3,4,0,hst_12939_3a_wfc3_ir_total_iby03a
4,34.24186701,31.18818905,367,3905,8673,561,1,3,4,0,hst_12939_3l_wfc3_ir_total_iby03l
10,9.765412793,8.127360001,977,10449,50612,3132,3,3,4,0,hst_12939_7b_wfc3_uvis_total_iby07b
10,6.414109814,5.574882597,265,3651,8473,958,3,3,4,0,hst_12939_7w_wfc3_uvis_total_iby07w
4,14.14819698,23.23617607,6,216,193,6,1,3,0,0,hst_12866_14_wfc3_ir_total_iby214
4,0.0,0.0,1,1,1,1,3,3,0,0,hst_12903_1l_wfc3_uvis_total_iby81l
4,0.0,0.0,1,12,1,1,1,3,0,0,hst_12903_1l_wfc3_ir_total_iby81l
